Id,LastActivity,Frequency,Monetary,Recency,R_score,F_score,M_score,RFM_Score,Segment
1503960366,5/11/2016,30,1876.966667,2,3,3,1,7,Loyal Users
1624580081,5/12/2016,31,1483.354839,1,3,3,1,7,Loyal Users
1644430081,5/11/2016,30,2811.3,2,3,3,4,10,Loyal Users
1844505072,5/6/2016,21,1713.761905,7,3,3,1,7,Loyal Users
1927972279,5/7/2016,17,2303.058824,6,3,3,3,9,Loyal Users
2022484408,5/12/2016,31,2509.967742,1,3,3,4,10,Loyal Users
2026352035,5/12/2016,31,1540.645161,1,3,3,1,7,Loyal Users
2320127002,5/12/2016,31,1724.16129,1,3,3,1,7,Loyal Users
2347167796,4/29/2016,18,2043.444444,14,3,3,3,9,Loyal Users
2873212765,5/12/2016,31,1916.967742,1,3,3,2,8,Loyal Users
3372868164,5/1/2016,20,1933.1,12,3,3,2,8,Loyal Users
3977333714,5/11/2016,30,1513.666667,2,3,3,1,7,Loyal Users
4020332650,5/12/2016,17,2719.941176,1,3,3,4,10,Loyal Users
4057192912,4/15/2016,3,2039.666667,28,3,3,3,9,Loyal Users
4319703577,5/12/2016,31,2037.677419,1,3,3,2,8,Loyal Users
4388161847,5/12/2016,31,3093.870968,1,3,3,5,11,Loyal Users
4445114986,5/12/2016,31,2186.193548,1,3,3,3,9,Loyal Users
4558609924,5/12/2016,31,2033.258065,1,3,3,2,8,Loyal Users
4702921684,5/12/2016,30,2997.166667,1,3,3,5,11,Loyal Users
5553957443,5/12/2016,31,1875.677419,1,3,3,1,7,Loyal Users
5577150313,5/11/2016,28,3469.678571,2,3,3,5,11,Loyal Users
6117666160,5/9/2016,23,2427.434783,4,3,3,3,9,Loyal Users
6290855005,5/9/2016,24,2772.708333,4,3,3,4,10,Loyal Users
6775888955,5/7/2016,17,2285.705882,6,3,3,3,9,Loyal Users
6962181067,5/12/2016,31,1982.032258,1,3,3,2,8,Loyal Users
7007744171,5/6/2016,24,2686.125,7,3,3,4,10,Loyal Users
7086361926,5/12/2016,30,2597.6,1,3,3,4,10,Loyal Users
8053475328,5/12/2016,31,2945.806452,1,3,3,5,11,Loyal Users
8253242879,4/29/2016,18,1887.333333,14,3,3,2,8,Loyal Users
8378563200,5/12/2016,31,3436.580645,1,3,3,5,11,Loyal Users
8583815059,5/11/2016,30,2823.1,2,3,3,5,11,Loyal Users
8792009665,5/4/2016,19,2192.526316,9,3,3,3,9,Loyal Users
8877689391,5/12/2016,31,3420.258065,1,3,3,5,11,Loyal Users
